ID,Character,Gender,Alive,Title,Forename,Surname,Old Surname,Alias,Book,Page,Chapter Name,POV
1212,Ser Robert Stone,M,U,Ser,Robert,Stone,,,A Storm of Swords,920,Jaime VIII,Jaime Lannister
1213,Ser Elwood Harte,M,A,Ser,Elwood,Harte,,,A Storm of Swords,921,Jaime VIII,Jaime Lannister
1214,Kella,F,A,,Kella,,,,A Storm of Swords,929,Sansa VI,Sansa Stark
1215,Bryen,M,A,,Bryen,,,,A Storm of Swords,930,Sansa VI,Sansa Stark
1216,Grisel,F,A,,Grisel,,,,A Storm of Swords,930,Sansa VI,Sansa Stark
1217,Umfred,M,A,,Umfred,,,,A Storm of Swords,930,Sansa VI,Sansa Stark
1218,Lord Lyonel Corbray,M,A,Lord,Lyonel,Corbray,,,A Storm of Swords,931,Sansa VI,Sansa Stark
1219,"Watt, Of Long Lake",M,D,,Watt,,,Of Long Lake,A Storm of Swords,947,Jon IX,Jon Snow
1220,Tumberjon,M,U,,Tumberjon,,,,A Storm of Swords,947,Jon IX,Jon Snow
1221,"Tim, Tangletongue",M,A,,Tim,,,Tangletongue,A Storm of Swords,950,Jon IX,Jon Snow
1222,Ser Glendon Hewett,M,A,Ser,Glendon,Hewett,,,A Storm of Swords,956,Jon IX,Jon Snow
1223,"Baelor Hightower, Breakwind, Brightsmile",M,A,,Baelor,Hightower,,"Breakwind, Brightsmile",A Storm of Swords,967,Tyrion X,Tyrion Lannister
1224,Ghael,M,A,,Ghael,,,,A Storm of Swords,982,Daenerys VI,Daenerys Targaryen
1225,"King Cleon, The Butcher King",M,D,King,Cleon,,,The Butcher King,A Storm of Swords,982,Daenerys VI,Daenerys Targaryen
1226,Septa Donyse,F,A,Septa,Donyse,,,,A Storm of Swords,1006,Jaime IX,Jaime Lannister
1227,"Torwynd, The Tame",M,D,,Torwynd,,,The Tame,A Storm of Swords,1016,Jon X,Jon Snow
1228,Quenn,M,U,,Quenn,,,,A Storm of Swords,1021,Jon X,Jon Snow
1229,Hop-Robin,M,A,,Hop-Robin,,,,A Storm of Swords,1048,Samwell IV,Samwell Tarly
1230,Lum,M,A,,Lum,,,,A Storm of Swords,1070,Tyrion XI,Tyrion Lannister
1231,"Lester, Red Lester",M,A,,Lester,,,Red Lester,A Storm of Swords,1070,Tyrion XI,Tyrion Lannister
1232,Maester Harmune,M,A,Maester,Harmune,,,,A Storm of Swords,1084,Samwell V,Samwell Tarly
1233,"Emmett, Iron Emmett",M,A,,Emmett,,,Iron Emmett,A Storm of Swords,1087,Jon XII,Jon Snow
1234,Ser Garse Goodbrook,M,D,Ser,Garse,Goodbrook,,,A Storm of Swords,1126,Epilogue,Merrett Frey
1235,Jothos Slynt,M,A,,Jothos,Slynt,,,A Storm of Swords,1133,Appendix,N/A
1236,Danos Slynt,M,A,,Danos,Slynt,,,A Storm of Swords,1133,Appendix,N/A
1237,"Alesander Staedmon, Pennylover",M,A,,Alesander,Staedmon,,Pennylover,A Storm of Swords,1133,Appendix,N/A
1238,Togg Joth,M,U,,Togg,Joth,,,A Storm of Swords,1137,Appendix,N/A
1239,Pyg,M,D,,Pyg,,,,A Storm of Swords,1137,Appendix,N/A
1240,Three Toes,M,U,,Three Toes,,,,A Storm of Swords,1137,Appendix,N/A
1241,Jonelle Cerwyn,F,A,,Jonelle,Cerwyn,,,A Storm of Swords,1137,Appendix,N/A
1242,Lord Monterys Velaryon,M,A,Lord,Monterys,Velaryon,,,A Storm of Swords,1140,Appendix,N/A
1243,Cadwyle,M,A,,Cadwyle,,,,A Storm of Swords,1144,Appendix,N/A
1244,Lord Triston Farwynd,M,A,Lord,Triston,Farwynd,,,A Storm of Swords,1145,Appendix,N/A
1245,Lord Maron Volmark,M,A,Lord,Maron,Volmark,,,A Storm of Swords,1145,Appendix,N/A
1246,Lord Myre,M,A,Lord,,Myre,,,A Storm of Swords,1145,Appendix,N/A
1247,Lord Stonetree,M,A,Lord,,Stonetree,,,A Storm of Swords,1145,Appendix,N/A
1248,"Lord Alyn Orkwood, Orkwood of Orkmont",M,A,Lord,Alyn,Orkwood,,Orkwood of Orkmont,A Storm of Swords,1145,Appendix,N/A
1249,Lord Balon Tawney,M,A,Lord,Balon,Tawney,,,A Storm of Swords,1145,Appendix,N/A
1250,"Jeyne Frey (Darry), Wife of Ser Cleos",F,A,,Jeyne,Frey,Darry,Wife of Ser Cleos,A Storm of Swords,1154,Appendix,N/A
1251,Ser Lyonel Frey,M,A,Ser,Lyonel,Frey,,,A Storm of Swords,1154,Appendix,N/A
1252,Ser Damion Lannister,M,A,Ser,Damion,Lannister,,,A Storm of Swords,1159,Appendix,N/A
1253,Lady Shiera Lannister (Crakehall),F,A,Lady,Shiera,Lannister,Crakehall,,A Storm of Swords,1159,Appendix,N/A
1254,Ser Lucion Lannister,M,A,Ser,Lucion,Lannister,,,A Storm of Swords,1159,Appendix,N/A
1255,Lanna Jast (Lannister),F,A,,Lanna,Jast,Lannister,,A Storm of Swords,1159,Appendix,N/A
1256,Margot Peake (Lannister),F,A,,Margot,Peake,Lannister,,A Storm of Swords,1159,Appendix,N/A
1257,Lord Titus Peake,M,A,Lord,Titus,Peake,,,A Storm of Swords,1159,Appendix,N/A
1258,Ser Benedict Broom,M,A,Ser,Benedict,Broom,,,A Storm of Swords,1159,Appendix,N/A
1259,Lord Damon Marbrand,M,A,Lord,Damon,Marbrand,,,A Storm of Swords,1159,Appendix,N/A
1260,Ser Tybolt Crakehall,M,A,Ser,Tybolt,Crakehall,,,A Storm of Swords,1159,Appendix,N/A
1261,"Ser Lyle Crakehall, Strongboar",M,A,Ser,Lyle,Crakehall,,Strongboar,A Storm of Swords,1159,Appendix,N/A
1262,Lord Philip Plumm,M,A,Lord,Philip,Plumm,,,A Storm of Swords,1160,Appendix,N/A
1263,Ser Steffon Swyft,M,A,Ser,Steffon,Swyft,,,A Storm of Swords,1160,Appendix,N/A
1264,Joanna Swyft,F,A,,Joanna,Swyft,,,A Storm of Swords,1160,Appendix,N/A
1265,Shierle Sarsfield (Swyft),F,A,,Shierle,Sarsfield,Swyft,,A Storm of Swords,1160,Appendix,N/A
1266,Lord Selmond Stackspear,M,A,Lord,Selmond,Stackspear,,,A Storm of Swords,1160,Appendix,N/A
1267,Ser Steffon Stackspear,M,A,Ser,Steffon,Stackspear,,,A Storm of Swords,1160,Appendix,N/A
1268,Lord Terrence Kenning,M,A,Lord,Terrence,Kenning,,,A Storm of Swords,1160,Appendix,N/A
1269,Obara Sand,F,A,,Obara,Sand,,,A Storm of Swords,1162,Appendix,N/A
1270,"Nymeria Sand, Nym",F,A,,Nymeria,Sand,,Nym,A Storm of Swords,1162,Appendix,N/A
1271,Tyene Sand,F,A,,Tyene,Sand,,,A Storm of Swords,1162,Appendix,N/A
1272,Sarella Sand,F,A,,Sarella,Sand,,,A Storm of Swords,1162,Appendix,N/A
1273,Elia Sand,F,A,,Elia,Sand,,,A Storm of Swords,1162,Appendix,N/A
1274,Obella Sand,F,A,,Obella,Sand,,,A Storm of Swords,1162,Appendix,N/A
1275,Dorea Sand,F,A,,Dorea,Sand,,,A Storm of Swords,1162,Appendix,N/A
1276,Loreza Sand,F,A,,Loreza,Sand,,,A Storm of Swords,1162,Appendix,N/A
1277,Perros Blackmont,M,A,,Perros,Blackmont,,,A Storm of Swords,1163,Appendix,N/A
1278,Lady Delonne Allyrion,F,A,Lady,Delonne,Allyrion,,,A Storm of Swords,1163,Appendix,N/A
1279,Lady Nymella Toland,F,A,Lady,Nymella,Toland,,,A Storm of Swords,1163,Appendix,N/A
1280,"Ser Ronald Vance, The Bad",M,A,Ser,Ronald,Vance,,The Bad,A Storm of Swords,1164,Appendix,N/A
1281,Ser Hugo Vance,M,A,Ser,Hugo,Vance,,,A Storm of Swords,1164,Appendix,N/A
1282,Ser Ellery Vance,M,A,Ser,Ellery,Vance,,,A Storm of Swords,1164,Appendix,N/A
1283,Kirth Vance,M,A,,Kirth,Vance,,,A Storm of Swords,1164,Appendix,N/A
1284,Ser Robert Paege,M,A,Ser,Robert,Paege,,,A Storm of Swords,1164,Appendix,N/A
1285,Tristan Ryger,M,A,,Tristan,Ryger,,,A Storm of Swords,1164,Appendix,N/A
1286,Lord Norbert Vance,M,A,Lord,Norbert,Vance,,,A Storm of Swords,1164,Appendix,N/A
1287,Lord Theomar Smallwood,M,A,Lord,Theomar,Smallwood,,,A Storm of Swords,1164,Appendix,N/A
1288,King Mern IX Gardener,M,D,King,Mern,Gardener,,,A Storm of Swords,1166,Appendix,N/A
1289,"Ser Luthor Tyrell, Son of Moryn",M,D,Ser,Luthor,Tyrell,,Son of Moryn,A Storm of Swords,1167,Appendix,N/A
1290,Lady Elyn Tyrell (Norridge),F,A,Lady,Elyn,Tyrell,Norridge,,A Storm of Swords,1167,Appendix,N/A
1291,Ser Theodore Tyrell,M,A,Ser,Theodore,Tyrell,,,A Storm of Swords,1167,Appendix,N/A
1292,Lady Lia Tyrell (Serry),F,A,Lady,Lia,Tyrell,Serry,,A Storm of Swords,1167,Appendix,N/A
1293,"Luthor Tyrell, Son of Theodore",M,A,,Luthor,Tyrell,,Son of Theodore,A Storm of Swords,1167,Appendix,N/A
1294,Maester Medwick (Tyrell),M,A,Maester,Medwick,,Tyrell,,A Storm of Swords,1167,Appendix,N/A
1295,Olene Blackbar (Tyrell),F,A,,Olene,Blackbar,Tyrell,,A Storm of Swords,1167,Appendix,N/A
1296,Ser Leo Blackbar,M,A,Ser,Leo,Blackbar,,,A Storm of Swords,1167,Appendix,N/A
1297,"Leo Tyrell, Leo the Lazy, Son of Moryn",M,A,,Leo,Tyrell,,"Leo the Lazy, Son of Moryn",A Storm of Swords,1167,Appendix,N/A
1298,Ser Quentin Tyrell,M,A,Ser,Quentin,Tyrell,,,A Storm of Swords,1167,Appendix,N/A
1299,Ser Olymer Tyrell,M,A,Ser,Olymer,Tyrell,,,A Storm of Swords,1167,Appendix,N/A
1300,Lady Lysa Tyrell (Meadows),F,A,Lady,Lysa,Tyrell,Meadows,,A Storm of Swords,1167,Appendix,N/A
1301,Raymund Tyrell,M,A,,Raymund,Tyrell,,,A Storm of Swords,1167,Appendix,N/A
1302,Rickard Tyrell,M,A,,Rickard,Tyrell,,,A Storm of Swords,1167,Appendix,N/A
1303,Maester Normund (Tyrell),M,A,Maester,Normund,,Tyrell,,A Storm of Swords,1167,Appendix,N/A
1304,Ser Victor Tyrell,M,D,Ser,Victor,Tyrell,,,A Storm of Swords,1167,Appendix,N/A
1305,Victaria Bulwer,F,A,,Victaria,Bulwer,,,A Storm of Swords,1167,Appendix,N/A
1306,Lord Jon Bulwer,M,D,Lord,Jon,Bulwer,,,A Storm of Swords,1167,Appendix,N/A
1307,"Ser Leo Tyrell, Son of Victor",M,A,Ser,Leo,Tyrell,,Son of Victor,A Storm of Swords,1167,Appendix,N/A
1308,Lady Alys Beesbury,F,A,Lady,Alys,Beesbury,,,A Storm of Swords,1167,Appendix,N/A
1309,Leona Tyrell,F,A,,Leona,Tyrell,,,A Storm of Swords,1168,Appendix,N/A
1310,"Lyonel Tyrell, Son of Leo",M,A,,Lyonel,Tyrell,,Son of Leo,A Storm of Swords,1168,Appendix,N/A
1311,Lucas Tyrell,M,A,,Lucas,Tyrell,,,A Storm of Swords,1168,Appendix,N/A
1312,Lorent Tyrell,M,A,,Lorent,Tyrell,,,A Storm of Swords,1168,Appendix,N/A
1313,Orton Merryweather,M,A,,Orton,Merryweather,,,A Storm of Swords,1168,Appendix,N/A
1314,"Ebben, Eggen",M,D,,Ebben,,,Eggen,A Storm of Swords,1171,Appendix,N/A
1315,"Hal, Hairy Hal",M,D,,Hal,,,Hairy Hal,A Storm of Swords,1172,Appendix,N/A
1316,"Jack Bulwer, Black Jack Bulwer",M,D,,Jack,Bulwer,,Black Jack Bulwer,A Storm of Swords,1172,Appendix,N/A
1317,Wallace Massey,M,A,,Wallace,Massey,,,A Storm of Swords,1172,Appendix,N/A
1318,Dennett,M,A,,Dennett,,,,A Storm of Swords,1174,Appendix,N/A
1319,Maester Roone,M,A,Maester,Roone,,,,A Storm of Swords,1174,Appendix,N/A
1320,"Dryn, Son of Tormund",M,A,,Dryn,,,Son of Tormund,A Storm of Swords,1174,Appendix,N/A
1321,Mollander,M,A,,Mollander,,,,A Feast for Crows,1,Prologue,Pate
1322,"Alleras, The Sphinx",M,A,,Alleras,,,The Sphinx,A Feast for Crows,1,Prologue,Pate
1323,Roone,M,A,,Roone,,,,A Feast for Crows,1,Prologue,Pate
1324,Rosey,F,A,,Rosey,,,,A Feast for Crows,1,Prologue,Pate
1325,"Pate, Novice of Oldtown",M,D,,Pate,,,Novice of Oldtown,A Feast for Crows,1,Prologue,Pate
1326,Emma,F,A,,Emma,,,,A Feast for Crows,1,Prologue,Pate
1327,"Armen, The Acolyte",M,A,,Armen,,,The Acolyte,A Feast for Crows,1,Prologue,Pate
1328,Archmaester Ebrose,M,A,Archmaester,Ebrose,,,,A Feast for Crows,2,Prologue,Pate
1329,Archmaester Walgrave,M,A,Archmaester,Walgrave,,,,A Feast for Crows,3,Prologue,Pate
1330,Archmaester Benedict,M,A,Archmaester,Benedict,,,,A Feast for Crows,4,Prologue,Pate
1331,"Archmaester Vaellyn, Vinegar Vaellyn",M,A,Archmaester,Vaellyn,,,Vinegar Vaellyn,A Feast for Crows,6,Prologue,Pate
1332,Archmaester Perestan,M,A,Archmaester,Perestan,,,,A Feast for Crows,7,Prologue,Pate
1333,Mollos,M,A,,Mollos,,,,A Feast for Crows,8,Prologue,Pate
1334,Archmaester Ryam,M,A,Archmaester,Ryam,,,,A Feast for Crows,9,Prologue,Pate
1335,Emmond,M,A,,Emmond,,,,A Feast for Crows,18,The Prophet,Aeron Greyjoy
1336,Steffarion Sparr,M,A,,Steffarion,Sparr,,,A Feast for Crows,18,The Prophet,Aeron Greyjoy
1337,Greydon Goodbrother,M,A,,Greydon,Goodbrother,,,A Feast for Crows,19,The Prophet,Aeron Greyjoy
1338,Gormond Goodbrother,M,A,,Gormond,Goodbrother,,,A Feast for Crows,19,The Prophet,Aeron Greyjoy
1339,Gran Goodbrother,M,A,,Gran,Goodbrother,,,A Feast for Crows,19,The Prophet,Aeron Greyjoy
1340,Norjen,M,A,,Norjen,,,,A Feast for Crows,19,The Prophet,Aeron Greyjoy
1341,Rus,M,A,,Rus,,,,A Feast for Crows,19,The Prophet,Aeron Greyjoy
1342,"Tarle, The Thrice-Drowned",M,A,,Tarle,,,The Thrice-Drowned,A Feast for Crows,19,The Prophet,Aeron Greyjoy
1343,Lord Quellon Greyjoy,M,D,Lord,Quellon,Greyjoy,,,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1344,Harlon Greyjoy,M,D,,Harlon,Greyjoy,,,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1345,Lady Greyjoy (Stonetree),F,U,Lady,,Greyjoy,Stonetree,,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1346,Donel Greyjoy,M,D,,Donel,Greyjoy,,,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1347,"Urrigon Greyjoy, Urri",M,D,,Urrigon,Greyjoy,,Urri,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1348,Lady Greyjoy (Sunderly),F,U,Lady,,Greyjoy,Sunderly,,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1349,Robin Greyjoy,M,D,,Robin,Greyjoy,,,A Feast for Crows,22,The Prophet,Aeron Greyjoy
1350,Gysella Goodbrother,F,A,,Gysella,Goodbrother,,,A Feast for Crows,24,The Prophet,Aeron Greyjoy
1351,Gwin Goodbrother,F,A,,Gwin,Goodbrother,,,A Feast for Crows,24,The Prophet,Aeron Greyjoy
1352,Maester Murenmure,M,A,Maester,Murenmure,,,,A Feast for Crows,24,The Prophet,Aeron Greyjoy
1353,Lady Greyjoy (Piper),F,U,Lady,,Greyjoy,Piper,,A Feast for Crows,26,The Prophet,Aeron Greyjoy
1354,King Urras Ironfoot,M,D,King,Urras,Ironfoot,,,A Feast for Crows,31,The Prophet,Aeron Greyjoy
1355,King Sylas Flatnose,M,D,King,Sylas,Flatnose,,,A Feast for Crows,31,The Prophet,Aeron Greyjoy
1356,King Harrag Hoare,M,D,King,Harrag,Hoare,,,A Feast for Crows,31,The Prophet,Aeron Greyjoy
1357,Olyvar Martell,M,D,,Olyvar,Martell,,,A Feast for Crows,39,The Captain of Guards,Areo Hotah
1358,Jeyne Fowler,F,A,,Jeyne,Fowler,,,A Feast for Crows,43,The Captain of Guards,Areo Hotah
1359,Jennelyn Fowler,F,A,,Jennelyn,Fowler,,,A Feast for Crows,43,The Captain of Guards,Areo Hotah
1360,Ricasso,M,A,,Ricasso,,,,A Feast for Crows,46,The Captain of Guards,Areo Hotah
1361,Ser Manfrey Martell,M,A,Ser,Manfrey,Martell,,,A Feast for Crows,46,The Captain of Guards,Areo Hotah
1362,Maester Myles,M,A,Maester,Myles,,,,A Feast for Crows,46,The Captain of Guards,Areo Hotah
1363,Senelle,F,D,,Senelle,,,,A Feast for Crows,51,Cersei I,Cersei Lannister
1364,Jocelyn Swyft,F,A,,Jocelyn,Swyft,,,A Feast for Crows,52,Cersei I,Cersei Lannister
1365,Puckens,M,A,,Puckens,,,,A Feast for Crows,56,Cersei I,Cersei Lannister
1366,Shortear,M,A,,Shortear,,,,A Feast for Crows,56,Cersei I,Cersei Lannister
1367,Rugen,M,U,,Rugen,,,,A Feast for Crows,61,Cersei I,Cersei Lannister
1368,"Ser Illifer, The Penniless",M,A,Ser,Illifer,,,The Penniless,A Feast for Crows,65,Brienne I,Brienne of Tarth
1369,Ser Creighton Longbough,M,A,Ser,Creighton,Longbough,,,A Feast for Crows,66,Brienne I,Brienne of Tarth
1370,Ser Herbert Bolling,M,D,Ser,Herbert,Bolling,,,A Feast for Crows,67,Brienne I,Brienne of Tarth
1371,"Lord Lucas Lothston, The Pander",M,D,Lord,Lucas,Lothston,,The Pander,A Feast for Crows,68,Brienne I,Brienne of Tarth
1372,Manfryd Lothston,M,D,,Manfryd,Lothston,,,A Feast for Crows,68,Brienne I,Brienne of Tarth
1373,"Ser Shadrich, Of the Shady Glen/The Mad Mouse",M,A,Ser,Shadrich,,,Of the Shady Glen/The Mad Mouse,A Feast for Crows,73,Brienne I,Brienne of Tarth
1374,Hibald,M,A,,Hibald,,,,A Feast for Crows,75,Brienne I,Brienne of Tarth
1375,Naggle,M,A,,Naggle,,,,A Feast for Crows,76,Brienne I,Brienne of Tarth
1376,"Ser Galladon, Of Morne",M,F,Ser,Galladon,,,Of Morne,A Feast for Crows,78,Brienne I,Brienne of Tarth
1377,Septon Jorquen,M,D,Septon,Jorquen,,,,A Feast for Crows,81,Samwell I,Samwell Tarly
1378,Lord Commander Orbert Caswell,M,D,Lord Commander,Orbert,Caswell,,,A Feast for Crows,81,Samwell I,Samwell Tarly
1379,Colloquo Votar,M,D,,Colloquo,Votar,,,A Feast for Crows,86,Samwell I,Samwell Tarly
1380,Maester Thomax,M,D,Maester,Thomax,,,,A Feast for Crows,86,Samwell I,Samwell Tarly
1381,Lord Commander Osric Stark,M,D,Lord Commander,Osric,Stark,,,A Feast for Crows,89,Samwell I,Samwell Tarly
1382,Denyo Terys,M,A,,Denyo,Terys,,,A Feast for Crows,98,Arya I,Arya Stark
1383,Captain Ternesio Terys,M,A,Captain,Ternesio,Terys,,,A Feast for Crows,103,Arya I,Arya Stark
1384,Yorko Terys,M,A,,Yorko,Terys,,,A Feast for Crows,103,Arya I,Arya Stark
1385,The Waif,F,A,,,,,The Waif,A Feast for Crows,109,Arya I,Arya Stark
1386,Ser Lambert Turnberry,M,A,Ser,Lambert,Turnberry,,,A Feast for Crows,116,Cersei II,Cersei Lannister
1387,Ser Balman Byrch,M,D,Ser,Balman,Byrch,,,A Feast for Crows,116,Cersei II,Cersei Lannister
1388,King Garth XII Gardener,M,D,King,Garth,Gardener,,,A Feast for Crows,123,Cersei II,Cersei Lannister
1389,Lord Quenton Hightower,M,D,Lord,Quenton,Hightower,,,A Feast for Crows,134,Jaime I,Jaime Lannister
1390,Rennifer Longwaters,M,A,,Rennifer,Longwaters,,,A Feast for Crows,135,Jaime I,Jaime Lannister
1391,"Lord Alyn Velaryon, Oakenfist",M,D,Lord,Alyn,Velaryon,,Oakenfist,A Feast for Crows,135,Jaime I,Jaime Lannister
1392,"Lady Danelle Lothston, Mad Danelle",F,D,Lady,Danelle,Lothston,,Mad Danelle,A Feast for Crows,148,Brienne II,Brienne of Tarth
1393,Lord Denys Darklyn,M,D,Lord,Denys,Darklyn,,,A Feast for Crows,149,Brienne II,Brienne of Tarth
1394,Ser Rufus Leek,M,A,Ser,Rufus,Leek,,,A Feast for Crows,150,Brienne II,Brienne of Tarth
1395,"Lady Serala, Of Myr",F,D,Lady,Serala,,,Of Myr,A Feast for Crows,150,Brienne II,Brienne of Tarth
1396,Ser Symon Hollard,M,D,Ser,Symon,Hollard,,,A Feast for Crows,151,Brienne II,Brienne of Tarth
1397,Ser Jon Hollard,M,D,Ser,Jon,Hollard,,,A Feast for Crows,151,Brienne II,Brienne of Tarth
1398,Robin Hollard,M,D,,Robin,Hollard,,,A Feast for Crows,151,Brienne II,Brienne of Tarth
1399,Ser Steffon Hollard,M,D,Ser,Steffon,Hollard,,,A Feast for Crows,151,Brienne II,Brienne of Tarth
1400,Septa Roelle,F,U,Septa,Roelle,,,,A Feast for Crows,154,Brienne II,Brienne of Tarth
1401,"Dick Crabb, Nimble Dick",M,D,,Dick,Crabb,,Nimble Dick,A Feast for Crows,155,Brienne II,Brienne of Tarth
1402,Humfrey Wagstaff,M,U,,Humfrey,Wagstaff,,,A Feast for Crows,160,Brienne II,Brienne of Tarth
1403,Gretchel,F,A,,Gretchel,,,,A Feast for Crows,168,Sansa I,Sansa Stark
1404,"Maddy, Fat Maddy",F,A,,Maddy,,,Fat Maddy,A Feast for Crows,168,Sansa I,Sansa Stark
1405,"Symond Templeton, Knight of Ninestars",M,A,,Symond,Templeton,,Knight of Ninestars,A Feast for Crows,174,Sansa I,Sansa Stark
1406,Lord Benedar Belmore,M,A,Lord,Benedar,Belmore,,,A Feast for Crows,174,Sansa I,Sansa Stark
1407,"Samwell Stone, Strong Sam Stone",M,A,,Samwell,Stone,,Strong Sam Stone,A Feast for Crows,174,Sansa I,Sansa Stark
1408,Ronnel Arryn,M,D,,Ronnel,Arryn,,,A Feast for Crows,175,Sansa I,Sansa Stark
1409,"Boremund Harlaw, The Blue",M,A,,Boremund,Harlaw,,The Blue,A Feast for Crows,178,The Kraken's Daughter,Asha Greyjoy
1410,"Hotho Harlaw, Hotho Humpback",M,A,,Hotho,Harlaw,,Hotho Humpback,A Feast for Crows,178,The Kraken's Daughter,Asha Greyjoy
1411,"Ser Harras Harlaw, The Knight",M,A,Ser,Harras,Harlaw,,The Knight,A Feast for Crows,178,The Kraken's Daughter,Asha Greyjoy
1412,"Sigfryd Harlaw, Silverhair",M,A,,Sigfryd,Harlaw,,Silverhair,A Feast for Crows,178,The Kraken's Daughter,Asha Greyjoy
1413,Three-Tooth,F,A,,Three-Tooth,,,,A Feast for Crows,178,The Kraken's Daughter,Asha Greyjoy
1414,Lord Tristifer Botley,M,A,Lord,Tristifer,Botley,,,A Feast for Crows,179,The Kraken's Daughter,Asha Greyjoy
1415,Harren Botley,M,D,,Harren,Botley,,,A Feast for Crows,179,The Kraken's Daughter,Asha Greyjoy
1416,Lady Gwynesse Greyjoy (Harlaw),F,A,Lady,Gwynesse,Greyjoy,Harlaw,,A Feast for Crows,179,The Kraken's Daughter,Asha Greyjoy
1417,Lord Theomore Harlaw,M,A,Lord,Theomore,Harlaw,,,A Feast for Crows,181,The Kraken's Daughter,Asha Greyjoy
1418,"Lord Aenar Targaryen, Aenar the Exile",M,D,Lord,Aenar,Targaryen,,Aenar the Exile,A Feast for Crows,182,The Kraken's Daughter,Asha Greyjoy
1419,"Beron Blacktyde, Blind Beron",M,A,,Beron,Blacktyde,,Blind Beron,A Feast for Crows,184,The Kraken's Daughter,Asha Greyjoy
1420,The Old Grey Gull,M,A,,,,,The Old Grey Gull,A Feast for Crows,184,The Kraken's Daughter,Asha Greyjoy
1421,Archmaester Haereg,M,D,Archmaester,Haereg,,,,A Feast for Crows,184,The Kraken's Daughter,Asha Greyjoy
1422,Archmaester Rigney,M,A,Archmaester,Rigney,,,,A Feast for Crows,184,The Kraken's Daughter,Asha Greyjoy
1423,Maester Denestan,M,U,Maester,Denestan,,,,A Feast for Crows,185,The Kraken's Daughter,Asha Greyjoy
1424,Lord Germund Botley,M,A,Lord,Germund,Botley,,,A Feast for Crows,189,The Kraken's Daughter,Asha Greyjoy
1425,Maester Joseran,M,A,Maester,Joseran,,,,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1426,"Jon Myre, Pinchface",M,A,,Jon,Myre,,Pinchface,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1427,"Lucas Codd, Left-Hand Lucas",M,A,,Lucas,Codd,,Left-Hand Lucas,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1428,"Harren, Half-Hoare",M,A,,Harren,,,Half-Hoare,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1429,The Red Oarsman,M,A,,,,,The Red Oarsman,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1430,"Kemmett Pyke, The Bastard",M,A,,Kemmett,Pyke,,The Bastard,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1431,Rodrik Freeborn,M,A,,Rodrik,Freeborn,,,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1432,Torwold Browntooth,M,A,,Torwold,Browntooth,,,A Feast for Crows,190,The Kraken's Daughter,Asha Greyjoy
1433,Melara Hetherspoon,F,D,,Melara,Hetherspoon,,,A Feast for Crows,193,Cersei III,Cersei Lannister
1434,Ossifer Plumm,M,D,,Ossifer,Plumm,,,A Feast for Crows,195,Cersei III,Cersei Lannister
1435,"Wat, The Blue Bard",M,A,,Wat,,,The Blue Bard,A Feast for Crows,200,Cersei III,Cersei Lannister
1436,"Maggy, The Frog",F,U,,Maggy,,,The Frog,A Feast for Crows,200,Cersei III,Cersei Lannister
1437,Lord Owen Merryweather,M,A,Lord,Owen,Merryweather,,,A Feast for Crows,206,Cersei III,Cersei Lannister
1438,"Lord Edgerran Oakheart, The Open-Handed",M,A,Lord,Edgerran,Oakheart,,The Open-Handed,A Feast for Crows,208,The Soiled Knight,Arys Oakheart
1439,Alester Oakheart,M,D,,Alester,Oakheart,,,A Feast for Crows,208,The Soiled Knight,Arys Oakheart
1440,"Ser Olyvar Oakheart, The Green Oak",M,A,Ser,Olyvar,Oakheart,,The Green Oak,A Feast for Crows,208,The Soiled Knight,Arys Oakheart
1441,Septa Eglantine,F,A,Septa,Eglantine,,,,A Feast for Crows,210,The Soiled Knight,Arys Oakheart
1442,"Ser Gascoyne, Of the Greenblood",M,A,Ser,Gascoyne,,,Of the Greenblood,A Feast for Crows,210,The Soiled Knight,Arys Oakheart
1443,Prince Maron Martell,M,D,Prince,Maron,Martell,,,A Feast for Crows,211,The Soiled Knight,Arys Oakheart
1444,"Ser Lucamore Strong, Lucamore the Lusty",M,D,Ser,Lucamore,Strong,,Lucamore the Lusty,A Feast for Crows,216,The Soiled Knight,Arys Oakheart
1445,"Ser Criston Cole, Kingmaker",M,D,Ser,Criston,Cole,,Kingmaker,A Feast for Crows,218,The Soiled Knight,Arys Oakheart
1446,Lady Alyse Ladybright,F,A,Lady,Alyse,Ladybright,,,A Feast for Crows,221,The Soiled Knight,Arys Oakheart
1447,Ser Cedric Payne,M,D,Ser,Cedric,Payne,,,A Feast for Crows,224,Brienne III,Brienne of Tarth
